east,north,elev_m,serial,name,type,disposition,acres,status
328801.86,4698782.05,1737.0,ID103502598,PALMER 405,L,Closed,,CLOSED
328849.41,4699076.44,1667.3,ID103448774,PALMER 406,L,Closed,,CLOSED
328849.41,4699076.44,1667.3,ID103451442,PALMER 408,L,Closed,,CLOSED
328863.42,4699379.43,1709.6,ID103117776,PALMER 409,L,Closed,,CLOSED
328780.89,4699840.34,1788.7,ID103404509,PALMER 410,L,Closed,,CLOSED
328780.89,4699840.34,1788.7,ID103452491,PALMER 411,L,Closed,,CLOSED
328780.89,4699840.34,1788.7,ID103016629,PALMER 412,L,Closed,,CLOSED
328780.89,4699840.34,1788.7,ID103112663,PALMER 413,L,Closed,,CLOSED
328814.72,4700179.50,1813.4,ID103467524,PALMER 414,L,Closed,,CLOSED
328931.97,4700698.85,1870.6,ID103405688,PALMER 415,L,Closed,,CLOSED
328931.97,4700698.85,1870.6,ID103141096,PALMER 416,L,Closed,,CLOSED
328931.97,4700698.85,1870.6,ID103467287,PALMER 417,L,Closed,,CLOSED
328941.44,4701085.28,1779.6,ID103484692,PALMER 418,L,Closed,,CLOSED
328889.97,4701536.55,1848.7,ID103439882,PALMER 419,L,Closed,,CLOSED
328889.97,4701536.55,1848.7,ID102918812,PALMER 420,L,Closed,,CLOSED
328889.97,4701536.55,1848.7,ID103299000,PALMER 421,L,Closed,,CLOSED
328889.97,4701536.55,1848.7,ID103371519,PALMER 422,L,Closed,,CLOSED
328969.80,4702309.03,1901.2,ID103230236,PALMER 423,L,Closed,,CLOSED
328969.80,4702309.03,1901.2,ID103295754,PALMER 424,L,Closed,,CLOSED
328969.80,4702309.03,1901.2,ID103459540,PALMER 425,L,Closed,,CLOSED
328969.80,4702309.03,1901.2,ID103517154,PALMER 426,L,Closed,,CLOSED
328979.27,4702695.47,1829.1,ID103248568,PALMER 427,L,Closed,,CLOSED
329188.49,4698400.36,1668.1,ID103470519,PALMER 501,L,Closed,,CLOSED
329188.49,4698400.36,1668.1,ID103522108,PALMER 502,L,Closed,,CLOSED
329188.49,4698400.36,1668.1,ID103403317,PALMER 503,L,Closed,,CLOSED
329188.49,4698400.36,1668.1,ID103348041,PALMER 504,L,Closed,,CLOSED
329187.97,4698749.26,1684.2,ID103503196,PALMER 505,L,Closed,,CLOSED
329241.26,4699043.51,1680.5,ID103489404,PALMER 506,L,Closed,,CLOSED
329241.26,4699043.51,1680.5,ID103514635,PALMER 507,L,Closed,,CLOSED
329241.26,4699043.51,1680.5,ID103243098,PALMER 508,L,Closed,,CLOSED
329271.71,4699918.32,1902.7,ID103454333,PALMER 509,L,Closed,,CLOSED
329271.71,4699918.32,1902.7,ID103225303,PALMER 519,L,Closed,,CLOSED
329271.71,4699918.32,1902.7,ID103481228,PALMER 511,L,Closed,,CLOSED
329271.71,4699918.32,1902.7,ID103527941,PALMER 512,L,Closed,,CLOSED
329271.71,4699918.32,1902.7,ID103117402,PALMER 513,L,Closed,,CLOSED
275078.80,4680618.99,1806.5,ID102918470,THOR STONE CO 196979,L,Closed,,CLOSED
275431.47,4680101.93,1961.4,ID103410370,THOR STONE CO 196980,L,Closed,,CLOSED
