east,north,elev_m,serial,name,type,disposition,acres,status
332101.44,4659922.25,1733.8,ID101471649,MG 93,L,Active,20.66,ACTIVE
332101.44,4659922.25,1733.8,ID101471650,MG 94,L,Active,20.66,ACTIVE
332101.44,4659922.25,1733.8,ID101471651,MG 95,L,Active,20.66,ACTIVE
332067.13,4660255.25,1749.0,ID101471652,MG 96,L,Active,20.66,ACTIVE
332181.53,4660541.39,1751.0,ID101471653,MG 97,L,Active,20.66,ACTIVE
332181.53,4660541.39,1751.0,ID101471654,MG 98,L,Active,20.66,ACTIVE
332181.53,4660541.39,1751.0,ID101471655,MG 99,L,Active,20.66,ACTIVE
332161.05,4660864.07,1771.3,ID101471656,MG 100,L,Active,20.66,ACTIVE
332054.66,4661402.10,1804.6,ID101471657,MG 101,L,Active,20.66,ACTIVE
332054.66,4661402.10,1804.6,ID101471658,MG 102,L,Active,20.66,ACTIVE
332054.66,4661402.10,1804.6,ID101471659,MG 103,L,Active,20.66,ACTIVE
332054.66,4661402.10,1804.6,ID101471660,MG 104,L,Active,20.66,ACTIVE
332062.96,4661786.31,1813.0,ID101471661,MG 105,L,Active,20.66,ACTIVE
332012.45,4662237.47,1837.1,ID101471662,MG 106,L,Active,20.66,ACTIVE
332012.45,4662237.47,1837.1,ID101471663,MG 107,L,Active,20.66,ACTIVE
332012.45,4662237.47,1837.1,ID101471664,MG 108,L,Active,20.66,ACTIVE
332443.65,4659553.05,1735.9,ID101471665,MG 109,L,Active,20.66,ACTIVE
332397.57,4659948.55,1706.0,ID101471666,MG 110,L,Active,20.66,ACTIVE
332397.57,4659948.55,1706.0,ID101471667,MG 111,L,Active,20.66,ACTIVE
332397.57,4659948.55,1706.0,ID101471668,MG 112,L,Active,20.66,ACTIVE
332397.57,4659948.55,1706.0,ID101471669,MG 113,L,Active,20.66,ACTIVE
332456.68,4660242.67,1693.7,ID101473883,MG 114,L,Active,20.66,ACTIVE
332443.70,4660532.95,1725.3,ID101473884,MG 115,L,Active,20.66,ACTIVE
332443.70,4660532.95,1725.3,ID101473885,MG 116,L,Active,20.66,ACTIVE
332471.20,4660820.05,1731.6,ID101473886,MG 117,L,Active,20.66,ACTIVE
332456.31,4661379.24,1738.5,ID101473887,MG 118,L,Active,20.66,ACTIVE
332456.31,4661379.24,1738.5,ID101473888,MG 119,L,Active,20.66,ACTIVE
332465.42,4661763.43,1746.1,ID101473889,MG 120,L,Active,20.66,ACTIVE
332520.03,4662182.09,1738.9,ID101473890,MG 121,L,Active,20.66,ACTIVE
332520.03,4662182.09,1738.9,ID101473891,MG 122,L,Active,20.66,ACTIVE
332520.03,4662182.09,1738.9,ID101473892,MG 123,L,Active,20.66,ACTIVE
332741.70,4659554.89,1683.4,ID101473893,MG 124,L,Active,20.66,ACTIVE
332878.47,4662188.05,1710.0,ID101473903,MG 134,L,Active,20.66,ACTIVE
332878.47,4662188.05,1710.0,ID101473904,MG 135,L,Active,20.66,ACTIVE
333236.47,4662210.70,1681.1,ID101474894,MG 136,L,Active,20.66,ACTIVE
333236.47,4662210.70,1681.1,ID101474895,MG 137,L,Active,20.66,ACTIVE
332035.48,4662614.67,1842.5,ID101474896,MG 138,L,Active,20.66,ACTIVE
332031.42,4663070.27,1820.5,ID101474897,MG 139,L,Active,20.66,ACTIVE
332031.42,4663070.27,1820.5,ID101474898,MG 140,L,Active,20.66,ACTIVE
332031.42,4663070.27,1820.5,ID101474899,MG 141,L,Active,20.66,ACTIVE
332031.42,4663070.27,1820.5,ID101474900,MG 142,L,Active,20.66,ACTIVE
332050.54,4663874.19,1816.8,ID101474901,MG 143,L,Active,20.66,ACTIVE
332050.54,4663874.19,1816.8,ID101474902,MG 144,L,Active,20.66,ACTIVE
332050.54,4663874.19,1816.8,ID101474903,MG 145,L,Active,20.66,ACTIVE
